"id","name","unit_name","nutrient_nbr","rank","drv","category"
"2047","Energy (Atwater General Factors)","KCAL","957","280.0",2500,"Energy"
"2048","Energy (Atwater Specific Factors)","KCAL","958","290.0",,"Energy"
"1008","Energy","KCAL","208","300.0",,"Energy"
"1062","Energy","kJ","268","400.0",,"Energy"
"1005","Carbohydrate, by difference","G","205","1110.0","320","Carbohydrates"
"1006","Fiber, crude (DO NOT USE - Archived)","G","206","999999.0",,"Carbohydrates"
"1009","Starch","G","209","2200.0",,"Carbohydrates"
"1010","Sucrose","G","210","1600.0",,"Carbohydrates"
"1011","Glucose","G","211","1700.0",,"Carbohydrates"
"1012","Fructose","G","212","1800.0",,"Carbohydrates"
"1013","Lactose","G","213","1900.0",,"Carbohydrates"
"1014","Maltose","G","214","2000.0",,"Carbohydrates"
"1015","Amylose","G","218","999999.0",,"Carbohydrates"
"1016","Amylopectin","G","219","999999.0",,"Carbohydrates"
"1017","Pectin","G","220","999999.0",,"Carbohydrates"
"1019","Pentosan","G","222","999999.0",,"Carbohydrates"
"1020","Pentoses","G","223","999999.0",,"Carbohydrates"
"1021","Hemicellulose","G","224","999999.0",,"Carbohydrates"
"1022","Cellulose","G","225","999999.0",,"Carbohydrates"
"1050","Carbohydrate, by summation","G","205.2","1120.0",,"Carbohydrates"
"1055","Mannitol","G","260","2500.0",,"Carbohydrates"
"1056","Sorbitol","G","261","2600.0",,"Carbohydrates"
"1063","Sugars, Total","G","269.3","1500.0",50,"Carbohydrates"
"1065","Glycogen","G","272","999999.0",,"Carbohydrates"
"1066","Fiber, neutral detergent (DO NOT USE - Archived)","G","273","999999.0",,"Carbohydrates"
"1067","Reducing sugars","G","274","999999.0",,"Carbohydrates"
"1068","Beta-glucans","G","276","999999.0",,"Carbohydrates"
"1069","Oligosaccharides","G","281","999999.0",,"Carbohydrates"
"1070","Nonstarch polysaccharides","G","282","999999.0",,"Carbohydrates"
"1071","Resistant starch","G","283","999999.0",,"Carbohydrates"
"1072","Carbohydrate, other","G","284",,,"Carbohydrates"
"1073","Arabinose","G","285","999999.0",,"Carbohydrates"
"1074","Xylose","G","286","999999.0",,"Carbohydrates"
"1075","Galactose","G","287","2100.0",,"Carbohydrates"
"1076","Raffinose","G","288","2300.0",,"Carbohydrates"
"1077","Stachyose","G","289","2400.0",,"Carbohydrates"
"1078","Xylitol","G","290","2700.0",,"Carbohydrates"
"1079","Fiber, total dietary","G","291","1200.0","30","Carbohydrates"
"1080","Lignin","G","292","999999.0",,"Carbohydrates"
"1081","Ribose","G","294","999999.0",,"Carbohydrates"
"1082","Fiber, soluble","G","295","1240.0",,"Carbohydrates"
"1084","Fiber, insoluble","G","297","1260.0",,"Carbohydrates"
"1086","Total sugar alcohols","G","299","999999.0",,"Carbohydrates"
"1235","Sugars, added","G","539","1540.0",,"Carbohydrates"
"1236","Sugars, intrinsic","G","549",1520.0,,Carbohydrates
"1399","Mannose","G","801","999999.0",,"Carbohydrates"
"1400","Triose","G","803","999999.0",,"Carbohydrates"
"1401","Tetrose","G","804","999999.0",,"Carbohydrates"
"1402","Other Saccharides","G","805","999999.0",,"Carbohydrates"
"1403","Inulin","G","806","999999.0",,"Carbohydrates"
"2000","Total Sugars","G","269","1510.0",50,"Carbohydrates"
"2033","Total dietary fiber (AOAC 2011.25)","G","293","1300.0","28","Carbohydrates"
"2034","Insoluble dietary fiber (IDF)","G","293.1","1310.0",,"Carbohydrates"
"2035","Soluble dietary fiber (SDFP+SDFS)","G","293.2","1320.0",,"Carbohydrates"
"2036","Soluble dietary fiber (SDFP)","G","954","1324.0",,"Carbohydrates"
"2037","Soluble dietary fiber (SDFS)","G","953","1326.0",,"Carbohydrates"
"2038","High Molecular Weight Dietary Fiber (HMWDF)","G","293.3","1305",,"Carbohydrates"
"2039","Carbohydrates","G",956,"1100.0",275,"Carbohydrates"
"2058","Beta-glucan","G",,"1327.0",,"Carbohydrates"
"2063","Verbascose","G",,"2450.0",,"Carbohydrates"
"2064","Oligosaccharides","MG",,"2250.0",,"Carbohydrates"
"2065","Low Molecular Weight Dietary Fiber (LMWDF)","G","293.4","1306",,"Carbohydrates"
"1004","Total lipid (fat)","G","204","800.0",80,"Lipids"
"1085","Total fat (NLEA)","G","298","900.0",,"Lipids"
"1253","Cholesterol","MG","601","15700.0","300","Lipids"
"1254","Glycerides","G","602","999999.0",,"Lipids"
"1255","Phospholipids","G","603","999999.0",,"Lipids"
"1256","Glycolipids","G","604","999999.0",,"Lipids"
"1257","Fatty acids, total trans","G","605","15400.0",,"Lipids"
"1258","Fatty acids, total saturated","G","606","9700.0","20","Lipids"
"1259","SFA 4:0","G","607","9800.0",,"Lipids"
"1260","SFA 6:0","G","608","9900.0",,"Lipids"
"1261","SFA 8:0","G","609","10000.0",,"Lipids"
"1262","SFA 10:0","G","610","10100.0",,"Lipids"
"1263","SFA 12:0","G","611","10300.0",,"Lipids"
"1264","SFA 14:0","G","612","10500.0",,"Lipids"
"1265","SFA 16:0","G","613","10700.0",,"Lipids"
"1266","SFA 18:0","G","614","10900.0",,"Lipids"
